Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:09:09+0200;2025-06-19T18:09:24+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:27:15+0200;2025-06-19T18:27:27+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:27:46+0200;2025-06-19T19:27:58+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:10:54+0200;2025-06-19T18:11:09+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:29:03+0200;2025-06-19T18:29:15+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:30:35+0200;2025-06-19T19:30:47+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:17:54+0200;2025-06-19T18:18:09+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:30:55+0200;2025-06-19T18:31:07+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:33:24+0200;2025-06-19T19:33:36+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:19:39+0200;2025-06-19T18:19:54+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:34:10+0200;2025-06-19T18:34:22+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:39:02+0200;2025-06-19T19:39:14+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:21:24+0200;2025-06-19T18:21:39+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:39:56+0200;2025-06-19T18:40:08+02:00;Applicable;
